Date/Time,DistrictCooling:Facility [J](TimeStep),Electricity:Facility [J](TimeStep) 
 01/21  00:10:00,1724425.431242227,76800.0 
 01/21  00:20:00,1712811.910196062,76800.0 
 01/21  00:30:00,1700725.1944697928,76800.0 
 01/21  00:40:00,1689061.6771361432,76800.0 
 01/21  00:50:00,1677857.439038862,76800.0 
 01/21  01:00:00,1667188.073590366,76800.0 
 01/21  01:10:00,1657122.7167539392,76800.0 
 01/21  01:20:00,1647750.6128095123,76800.0 
 01/21  01:30:00,1639238.4203390996,76800.0 
 01/21  01:40:00,1632168.9709841625,76800.0 
 01/21  01:50:00,1622361.5427110456,76800.0 
 01/21  02:00:00,1612209.3624061202,76800.0 
 01/21  02:10:00,1601136.890937066,76800.0 
 01/21  02:20:00,1590021.7329364652,76800.0 
 01/21  02:30:00,1579016.2574938503,76800.0 
 01/21  02:40:00,1568222.0019450835,76800.0 
 01/21  02:50:00,1557728.493851639,76800.0 
 01/21  03:00:00,1547700.2904872876,76800.0 
 01/21  03:10:00,1538126.7654613461,76800.0 
 01/21  03:20:00,1527487.807003872,76800.0 
 01/21  03:30:00,1516741.5486188377,76800.0 
 01/21  03:40:00,1505968.7206221162,76800.0 
 01/21  03:50:00,1495237.070666496,76800.0 
 01/21  04:00:00,1484583.57105387,76800.0 
 01/21  04:10:00,1474028.848933445,76800.0 
 01/21  04:20:00,1463585.947574567,76800.0 
 01/21  04:30:00,1453264.1171495554,76800.0 
 01/21  04:40:00,1443070.2377910232,76800.0 
 01/21  04:50:00,1433009.4398118302,76800.0 
 01/21  05:00:00,1423085.5124917575,76800.0 
 01/21  05:10:00,1413301.2335787544,76800.0 
 01/21  05:20:00,1403658.6249569159,76800.0 
 01/21  05:30:00,1394159.1355818582,76800.0 
 01/21  05:40:00,1392645.0370819108,76800.0 
 01/21  05:50:00,1394124.7894265237,76800.0 
 01/21  06:00:00,1398884.8041371196,76800.0 
 01/21  06:10:00,1403276.1761621886,76800.0 
 01/21  06:20:00,1408534.320359023,76800.0 
 01/21  06:30:00,1416495.0710190134,76800.0 
 01/21  06:40:00,1428251.2811914294,76800.0 
 01/21  06:50:00,1444407.1364134955,76800.0 
 01/21  07:00:00,1464972.0355572943,76800.0 
 01/21  07:10:00,1493125.7003690999,76800.0 
 01/21  07:20:00,1521101.2454072332,76800.0 
 01/21  07:30:00,1548539.2070225314,76800.0 
 01/21  07:40:00,1572065.5028740163,76800.0 
 01/21  07:50:00,1600881.971707681,76800.0 
 01/21  08:00:00,1635165.7752973726,76800.0 
 01/21  08:10:00,1670195.2748985435,76800.0 
 01/21  08:20:00,1704229.5967175327,76800.0 
 01/21  08:30:00,1741486.043712758,76800.0 
 01/21  08:40:00,1779230.4813680004,76800.0 
 01/21  08:50:00,1810260.5522127305,76800.0 
 01/21  09:00:00,1846220.062766854,76800.0 
 01/21  09:10:00,1882683.6667144329,76800.0 
 01/21  09:20:00,1918954.231152778,76800.0 
 01/21  09:30:00,1954370.408407959,76800.0 
 01/21  09:40:00,1988490.1166867006,76800.0 
 01/21  09:50:00,2021023.3087497863,76800.0 
 01/21  10:00:00,2051748.4811438862,76800.0 
 01/21  10:10:00,2080392.2701869821,76800.0 
 01/21  10:20:00,2106829.100135714,76800.0 
 01/21  10:30:00,2132971.085175035,76800.0 
 01/21  10:40:00,2157436.144943102,76800.0 
 01/21  10:50:00,2180195.2649154356,76800.0 
 01/21  11:00:00,2202654.007511554,76800.0 
 01/21  11:10:00,2223819.8497542683,76800.0 
 01/21  11:20:00,2243592.7665563887,76800.0 
 01/21  11:30:00,2261915.9456303082,76800.0 
 01/21  11:40:00,2278615.4789491096,76800.0 
 01/21  11:50:00,2294007.761229544,76800.0 
 01/21  12:00:00,2307960.6054313267,76800.0 
 01/21  12:10:00,2320406.8308712253,76800.0 
 01/21  12:20:00,2331637.015246108,76800.0 
 01/21  12:30:00,2341973.942896675,76800.0 
 01/21  12:40:00,2351809.055996789,76800.0 
 01/21  12:50:00,2361549.2327071154,76800.0 
 01/21  13:00:00,2371529.604265523,76800.0 
 01/21  13:10:00,2381989.8146881876,76800.0 
 01/21  13:20:00,2393080.5048379055,76800.0 
 01/21  13:30:00,2404880.6718901335,76800.0 
 01/21  13:40:00,2417415.115787386,76800.0 
 01/21  13:50:00,2430668.184566731,76800.0 
 01/21  14:00:00,2444593.635603128,76800.0 
 01/21  14:10:00,2459121.5796338054,76800.0 
 01/21  14:20:00,2474163.4816885386,76800.0 
 01/21  14:30:00,2489615.889427746,76800.0 
 01/21  14:40:00,2505363.2862907182,76800.0 
 01/21  14:50:00,2521223.207741929,76800.0 
 01/21  15:00:00,2537175.776664646,76800.0 
 01/21  15:10:00,2550265.188208982,76800.0 
 01/21  15:20:00,2565042.179877509,76800.0 
 01/21  15:30:00,2580353.6266325926,76800.0 
 01/21  15:40:00,2595295.1537405066,76800.0 
 01/21  15:50:00,2609572.9949414283,76800.0 
 01/21  16:00:00,2622997.300041748,76800.0 
 01/21  16:10:00,2635404.920594894,76800.0 
 01/21  16:20:00,2646622.6870024786,76800.0 
 01/21  16:30:00,2653827.8555843914,76800.0 
 01/21  16:40:00,2661335.21127374,76800.0 
 01/21  16:50:00,2667958.8189557553,76800.0 
 01/21  17:00:00,2672672.169301248,76800.0 
 01/21  17:10:00,2675078.384802859,76800.0 
 01/21  17:20:00,2674872.2177885403,76800.0 
 01/21  17:30:00,2671753.9904375467,76800.0 
 01/21  17:40:00,2664239.584730217,76800.0 
 01/21  17:50:00,2654338.293676763,76800.0 
 01/21  18:00:00,2640660.0305655617,76800.0 
 01/21  18:10:00,2627069.9695633184,76800.0 
 01/21  18:20:00,2609706.455608055,76800.0 
 01/21  18:30:00,2586990.0210386515,76800.0 
 01/21  18:40:00,2559366.6946517164,76800.0 
 01/21  18:50:00,2527986.360767799,76800.0 
 01/21  19:00:00,2494025.7579444125,76800.0 
 01/21  19:10:00,2458581.7182324436,76800.0 
 01/21  19:20:00,2422600.758335852,76800.0 
 01/21  19:30:00,2386646.6898799124,76800.0 
 01/21  19:40:00,2351101.6726405034,76800.0 
 01/21  19:50:00,2316144.137346437,76800.0 
 01/21  20:00:00,2281856.6369972304,76800.0 
 01/21  20:10:00,2248405.118387382,76800.0 
 01/21  20:20:00,2215885.7281683143,76800.0 
 01/21  20:30:00,2184351.2091978416,76800.0 
 01/21  20:40:00,2153826.7698442712,76800.0 
 01/21  20:50:00,2124320.1542018857,76800.0 
 01/21  21:00:00,2095828.0792904033,76800.0 
 01/21  21:10:00,2068340.1760338624,76800.0 
 01/21  21:20:00,2041841.4933377614,76800.0 
 01/21  21:30:00,2016314.230836254,76800.0 
 01/21  21:40:00,1991739.0281573965,76800.0 
 01/21  21:50:00,1968095.967481091,76800.0 
 01/21  22:00:00,1945365.3889074198,76800.0 
 01/21  22:10:00,1923528.6034058298,76800.0 
 01/21  22:20:00,1902568.6002083053,76800.0 
 01/21  22:30:00,1882610.5452872333,76800.0 
 01/21  22:40:00,1863224.7341475175,76800.0 
 01/21  22:50:00,1844954.7350172289,76800.0 
 01/21  23:00:00,1827419.374914055,76800.0 
 01/21  23:10:00,1810855.7882717382,76800.0 
 01/21  23:20:00,1795368.1094947683,76800.0 
 01/21  23:30:00,1779920.684164274,76800.0 
 01/21  23:40:00,1765034.9314920588,76800.0 
 01/21  23:50:00,1750779.9446245467,76800.0 
 01/21  24:00:00,1737215.8635479973,76800.0 
 12/21  00:10:00,2793902.3418081906,76800.0 
 12/21  00:20:00,2769757.969062125,76800.0 
 12/21  00:30:00,2745891.8916130704,76800.0 
 12/21  00:40:00,2722322.10792794,76800.0 
 12/21  00:50:00,2699074.8006016514,76800.0 
 12/21  01:00:00,2676165.672294853,76800.0 
 12/21  01:10:00,2655446.000063889,76800.0 
 12/21  01:20:00,2634919.8326310315,76800.0 
 12/21  01:30:00,2614542.567261148,76800.0 
 12/21  01:40:00,2594363.896077015,76800.0 
 12/21  01:50:00,2574450.6074119546,76800.0 
 12/21  02:00:00,2554849.96909192,76800.0 
 12/21  02:10:00,2536535.0096684434,76800.0 
 12/21  02:20:00,2518491.562769998,76800.0 
 12/21  02:30:00,2500699.1694246246,76800.0 
 12/21  02:40:00,2483181.090674141,76800.0 
 12/21  02:50:00,2465968.577337442,76800.0 
 12/21  03:00:00,2449082.7253456064,76800.0 
 12/21  03:10:00,2432532.476877714,76800.0 
 12/21  03:20:00,2416318.5259652003,76800.0 
 12/21  03:30:00,2400437.262938585,76800.0 
 12/21  03:40:00,2384882.815732834,76800.0 
 12/21  03:50:00,2369648.2776553277,76800.0 
 12/21  04:00:00,2354726.232347332,76800.0 
 12/21  04:10:00,2341104.04827167,76800.0 
 12/21  04:20:00,2327707.1300318744,76800.0 
 12/21  04:30:00,2314505.378851528,76800.0 
 12/21  04:40:00,2301515.1499089575,76800.0 
 12/21  04:50:00,2288764.1772003747,76800.0 
 12/21  05:00:00,2276273.2820282467,76800.0 
 12/21  05:10:00,2268156.1572883893,76800.0 
 12/21  05:20:00,2260003.0811530026,76800.0 
 12/21  05:30:00,2255561.2762330654,76800.0 
 12/21  05:40:00,2253856.826338248,76800.0 
 12/21  05:50:00,2253417.9358613943,76800.0 
 12/21  06:00:00,2254628.7101717996,76800.0 
 12/21  06:10:00,2261557.1859689383,76800.0 
 12/21  06:20:00,2269273.022568892,76800.0 
 12/21  06:30:00,2279856.188196059,76800.0 
 12/21  06:40:00,2291665.1573565644,76800.0 
 12/21  06:50:00,2305750.9259952344,76800.0 
 12/21  07:00:00,2322799.033851656,76800.0 
 12/21  07:10:00,2353590.3162651286,76800.0 
 12/21  07:20:00,2386758.9002768137,76800.0 
 12/21  07:30:00,2421862.1677733413,76800.0 
 12/21  07:40:00,2458840.729450385,76800.0 
 12/21  07:50:00,2497863.1698724134,76800.0 
 12/21  08:00:00,2541638.698512551,76800.0 
 12/21  08:10:00,2586735.122954442,76800.0 
 12/21  08:20:00,2632055.0119178295,76800.0 
 12/21  08:30:00,2678196.961148506,76800.0 
 12/21  08:40:00,2725183.3032574686,76800.0 
 12/21  08:50:00,2772903.5715371426,76800.0 
 12/21  09:00:00,2821165.7017969703,76800.0 
 12/21  09:10:00,2867844.0334028564,76800.0 
 12/21  09:20:00,2914872.551303556,76800.0 
 12/21  09:30:00,2962118.2382886577,76800.0 
 12/21  09:40:00,3009361.244126827,76800.0 
 12/21  09:50:00,3056377.020385291,76800.0 
 12/21  10:00:00,3102981.115426415,76800.0 
 12/21  10:10:00,3147253.0042040576,76800.0 
 12/21  10:20:00,3191097.0950833466,76800.0 
 12/21  10:30:00,3234469.5159428213,76800.0 
 12/21  10:40:00,3277228.925085803,76800.0 
 12/21  10:50:00,3319225.624104182,76800.0 
 12/21  11:00:00,3360347.598109021,76800.0 
 12/21  11:10:00,3396323.2054950343,76800.0 
 12/21  11:20:00,3431837.091353099,76800.0 
 12/21  11:30:00,3466919.5207817866,76800.0 
 12/21  11:40:00,3501325.482959024,76800.0 
 12/21  11:50:00,3534781.7100810437,76800.0 
 12/21  12:00:00,3567163.8244454484,76800.0 
 12/21  12:10:00,3596975.8260479053,76800.0 
 12/21  12:20:00,3626324.979639286,76800.0 
 12/21  12:30:00,3655585.2371302093,76800.0 
 12/21  12:40:00,3684974.1673826,76800.0 
 12/21  12:50:00,3714476.390209004,76800.0 
 12/21  13:00:00,3744354.581366975,76800.0 
 12/21  13:10:00,3772295.187232932,76800.0 
 12/21  13:20:00,3800868.6714359717,76800.0 
 12/21  13:30:00,3830057.197416302,76800.0 
 12/21  13:40:00,3859670.2851349902,76800.0 
 12/21  13:50:00,3889493.983603742,76800.0 
 12/21  14:00:00,3919351.558058353,76800.0 
 12/21  14:10:00,3945292.9734425778,76800.0 
 12/21  14:20:00,3971470.2944411854,76800.0 
 12/21  14:30:00,3997799.7141757417,76800.0 
 12/21  14:40:00,4023907.5217388314,76800.0 
 12/21  14:50:00,4049367.1943444856,76800.0 
 12/21  15:00:00,4073973.2973052645,76800.0 
 12/21  15:10:00,4092997.784041685,76800.0 
 12/21  15:20:00,4108031.0640903516,76800.0 
 12/21  15:30:00,4124248.8241408137,76800.0 
 12/21  15:40:00,4140032.5934540373,76800.0 
 12/21  15:50:00,4154026.7935912227,76800.0 
 12/21  16:00:00,4165702.2245766125,76800.0 
 12/21  16:10:00,4173344.107186994,76800.0 
 12/21  16:20:00,4178449.4750447166,76800.0 
 12/21  16:30:00,4180870.7221159637,76800.0 
 12/21  16:40:00,4180418.741064508,76800.0 
 12/21  16:50:00,4175338.8334135786,76800.0 
 12/21  17:00:00,4167901.1801853795,76800.0 
 12/21  17:10:00,4155822.2659362834,76800.0 
 12/21  17:20:00,4139636.944746428,76800.0 
 12/21  17:30:00,4120301.226848828,76800.0 
 12/21  17:40:00,4097172.1026994577,76800.0 
 12/21  17:50:00,4075380.402265,76800.0 
 12/21  18:00:00,4050638.950484359,76800.0 
 12/21  18:10:00,4017809.748599624,76800.0 
 12/21  18:20:00,3981574.60380986,76800.0 
 12/21  18:30:00,3942959.9509517374,76800.0 
 12/21  18:40:00,3902688.6801245357,76800.0 
 12/21  18:50:00,3861128.2170383716,76800.0 
 12/21  19:00:00,3818885.701366139,76800.0 
 12/21  19:10:00,3779310.2628593678,76800.0 
 12/21  19:20:00,3739256.8713607253,76800.0 
 12/21  19:30:00,3698873.7650362286,76800.0 
 12/21  19:40:00,3658450.2667968245,76800.0 
 12/21  19:50:00,3618235.0047493065,76800.0 
 12/21  20:00:00,3578381.9210563675,76800.0 
 12/21  20:10:00,3540540.5186480363,76800.0 
 12/21  20:20:00,3503031.476972152,76800.0 
 12/21  20:30:00,3465859.699938641,76800.0 
 12/21  20:40:00,3429114.2351840357,76800.0 
 12/21  20:50:00,3392878.565281204,76800.0 
 12/21  21:00:00,3357199.111472901,76800.0 
 12/21  21:10:00,3322090.986384003,76800.0 
 12/21  21:20:00,3287552.58942583,76800.0 
 12/21  21:30:00,3253720.2350260625,76800.0 
 12/21  21:40:00,3220363.809675122,76800.0 
 12/21  21:50:00,3187479.5260159667,76800.0 
 12/21  22:00:00,3155106.087102214,76800.0 
 12/21  22:10:00,3124917.5123883607,76800.0 
 12/21  22:20:00,3095070.918059417,76800.0 
 12/21  22:30:00,3065520.572046137,76800.0 
 12/21  22:40:00,3036316.7695228383,76800.0 
 12/21  22:50:00,3007520.687140001,76800.0 
 12/21  23:00:00,2979168.4021022427,76800.0 
 12/21  23:10:00,2951270.8876241227,76800.0 
 12/21  23:20:00,2923824.909264731,76800.0 
 12/21  23:30:00,2896821.658422288,76800.0 
