Time,LABORATORIO_ZONE::Des Heat Load [W],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LABORATORIO_ZONE::Des Heat Mass Flow [kg/s],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Heat Load [W],LABORATORIO_ZONE::Des Latent Cool Load [W],LABORATORIO_ZONE::Des Latent Heat Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Heat Load No DOAS [W],LABORATORIO_ZONE::Des Sens Cool Load No DOAS [W],LABORATORIO_ZONE::Des Latent Heat Load No DOAS [W],LABORATORIO_ZONE::Des Latent Cool Load No DOAS [W],LABORATORIO_ZONE::Heating Zone Temperature [C],LABORATORIO_ZONE::Heating Zone Relative Humidity [%],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,0.000000E+00,2.482324E+03,0.000000E+00,2.211841E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398597E+01,7.050800E+01
00:20:00,0.000000E+00,2.446086E+03,0.000000E+00,2.179548E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398598E+01,7.076274E+01
00:30:00,0.000000E+00,2.410677E+03,0.000000E+00,2.147994E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398600E+01,7.101664E+01
00:40:00,0.000000E+00,2.376079E+03,0.000000E+00,2.117162E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398602E+01,7.127010E+01
00:50:00,0.000000E+00,2.342275E+03,0.000000E+00,2.087038E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398603E+01,7.152361E+01
01:00:00,0.000000E+00,2.309248E+03,0.000000E+00,2.057606E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398605E+01,7.177752E+01
01:10:00,0.000000E+00,2.277110E+03,0.000000E+00,2.028967E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398607E+01,7.203196E+01
01:20:00,0.000000E+00,2.245846E+03,0.000000E+00,2.001107E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398608E+01,7.228398E+01
01:30:00,0.000000E+00,2.215445E+03,0.000000E+00,1.974016E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398610E+01,7.253264E+01
01:40:00,0.000000E+00,2.185895E+03,0.000000E+00,1.947684E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398611E+01,7.277870E+01
01:50:00,0.000000E+00,2.157187E+03,0.000000E+00,1.922101E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398612E+01,7.302321E+01
02:00:00,0.000000E+00,2.129312E+03,0.000000E+00,1.897262E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398614E+01,7.326688E+01
02:10:00,0.000000E+00,2.102135E+03,0.000000E+00,1.873044E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398615E+01,7.351002E+01
02:20:00,0.000000E+00,2.075651E+03,0.000000E+00,1.849444E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398617E+01,7.375108E+01
02:30:00,0.000000E+00,2.049856E+03,0.000000E+00,1.826458E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398618E+01,7.398952E+01
02:40:00,0.000000E+00,2.024744E+03,0.000000E+00,1.804081E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398619E+01,7.422565E+01
02:50:00,0.000000E+00,2.000311E+03,0.000000E+00,1.782308E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398620E+01,7.445997E+01
03:00:00,0.000000E+00,1.976551E+03,0.000000E+00,1.761135E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398621E+01,7.469281E+01
03:10:00,0.000000E+00,1.953330E+03,0.000000E+00,1.740444E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398623E+01,7.492431E+01
